organism,time,abundance,log_sigma
virus,0.0,10981000,0.05974902107059279
virus,0.2,12959000,0.22754204376064605
virus,0.3,13273000,0.25788400647365384
virus,0.5,17914000,0.2195692138963595
virus,0.7,15899000,0.2962713606662023
virus,0.9,13881000,0.28145216420493874
virus,0.9,15545000,0.22187293448344014
virus,1.0,14527000,0.36440120952349425
virus,1.2,12516000,0.47617789614599865
virus,1.3,32464000,0.6360881543824934
virus,1.5,22129000,0.5608280158081433
virus,1.7,32426000,0.629105397318186
virus,1.8,39063000,0.059420669279443276
virus,2.0,65668000,0.2945966694651025
virus,2.2,37031000,0.13843378443336204
virus,2.3,66297000,0.060073669333992816
virus,2.5,91902000,0.018031330078478344
virus,2.8,134460000,0.08632930837106777
virus,3.0,163060000,0.21446699166673966
host,0.0,5236900,0.1426292476104216
host,0.2,5768400,0.16370531506153593
host,0.3,5835000,0.10503100722921421
host,0.5,4846200,0.20913424754739
host,0.7,4702100,0.22393408980172436
host,0.9,4283600,0.3011032230921094
host,1.0,3675000,0.48444901885994246
host,1.2,3466700,0.5155706197982455
host,1.3,3385700,0.5081456547201791
host,1.5,2143500,0.4746306970012541
host,1.7,1682400,0.3416934767365735
host,1.8,1179200,0.43518985262621307
host,2.0,971320,0.4160473062018877
host,2.2,890380,0.25711904352638754
host,2.3,957390,0.11027525495114508
host,2.5,791980,0.287171940842686
host,2.8,734840,0.2679138383302001
host,3.0,655160,0.4449695979059613
