organism,time,abundance,uncertainty
virus,0,10981000,656690
virus,0.2,12959000,2987300
virus,0.3,13273000,3480600
virus,0.5,17914000,3981250
virus,0.7,15899000,4815700
virus,0.9,13881000,3985500
virus,0.9,15545000,3491900
virus,1,14527000,5474350
virus,1.2,12516000,6314200
virus,1.3,32464000,22926000
virus,1.5,22129000,13453500
virus,1.7,32426000,22594500
virus,1.8,39063000,2323200
virus,2,65668000,19773000
virus,2.2,37031000,5151000
virus,2.3,66297000,3986300
virus,2.5,91902000,1657250
virus,2.8,134460000,11629500
virus,3,163060000,35377000
host,0,5236900,750750
host,0.2,5768400,950680
host,0.3,5835000,614550
host,0.5,4846200,1024690
host,0.7,4702100,1066300
host,0.9,4283600,1319600
host,1,3675000,1890100
host,1.2,3466700,1912950
host,1.3,3385700,1837700
host,1.5,2143500,1077450
host,1.7,1682400,592060
host,1.8,1179200,538460
host,2,971320,422250
host,2.2,890380,232770
host,2.3,957390,105898.21
host,2.5,791980,232205
host,2.8,734840,200460
host,3,655160,306570
